ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone
KZ,3U8,BIG SANDY,,MONTANA,USA,48.162478,-110.113261,2700,-7,-6,America/Boise
KZ,3V0,CUSTER STATE PARK,,SOUTH DAKOTA,USA,43.724989,-103.350472,3980,-7,-6,America/Denver
KZ,3V4,FORT MORGAN MUNI,,COLORADO,USA,40.334233,-103.80395,4568,-7,-6,America/Denver
KZ,3V5,FORT COLLINS DOWNTOWN,,COLORADO,USA,40.588336,-105.041675,4939,-7,-6,America/Denver
KZ,3V7,BELLE CREEK,,MONTANA,USA,45.124986,-105.092206,3678,-7,-6,America/Denver
KZ,3W7,GRAND COULEE DAM,,WASHINGTON,USA,47.923483,-119.080578,1590,-8,-7,America/Los_Angeles
KZ,3W8,EUREKA MUNI,,SOUTH DAKOTA,USA,45.799981,-99.642064,1935,-6,-5,America/North_Dakota/New_Salem
KZ,3WO,SHAWANO MUNI,,WISCONSIN,USA,44.787778,-88.561525,811,-6,-5,America/Menominee
KZ,3XS7,SKYDIVE HOUSTON,,TEXAS,USA,29.993389,-95.930344,235,-6,-5,America/Indiana/Tell_City
KZ,3XS8,KEN ADA RANCH,,TEXAS,USA,30.130772,-95.900231,250,-6,-5,America/Indiana/Tell_City
KZ,3Y2,GEORGE L SCOTT MUNI,,IOWA,USA,42.985089,-91.790603,1232,-6,-5,America/Chicago
KZ,3Y3,WINTERSET MADISON CO,,IOWA,USA,41.362767,-94.021061,1110,-6,-5,America/Chicago
KZ,40G,VALLE,,ARIZONA,USA,35.650842,-112.148053,5999,-7,-7,America/Phoenix
